id,created_at,reflection,student_id,wtk_ref_id
2054,2026-02-26 08:22:10.558216+00,"Apa itu hadoop, dan arsitekturnya",572,29
2055,2026-02-26 08:22:29.306394+00,mulai dari latar belakangnya sampai cara pengaplikasiannya,593,29
2056,2026-02-26 08:22:49.489791+00,tools nya apa saja dan fungsinya buat apa saja kemudian bagaimana workflow atau cara kerjanya,563,29
2057,2026-02-26 08:22:49.654123+00,mengetahui bagian dari ekosistem hadoop,524,29
2058,2026-02-26 08:22:55.649816+00,saya tidak tahu,567,29
2059,2026-02-26 08:22:56.219393+00,"definisi, fungsi, cara kerja contoh cara penerapan",527,29
2060,2026-02-26 08:23:06.372855+00,cara kerja dan memahami nya,597,29
2061,2026-02-26 08:23:09.419207+00,cara kerja dan tools-tools tambahan,544,29
2062,2026-02-26 08:23:10.655772+00,fungsi HDFS dalam ekosistem hadoop,556,29
2063,2026-02-26 08:23:14.107894+00,Tentang apa itu ekosistem Hadoop dan bagaimana ekosistem ini bekerja,573,29
2064,2026-02-26 08:23:20.878978+00,"Pengenalan ke ekosistem Hadoop, tools yang tersedia, dan cara penggunannya",532,29
2065,2026-02-26 08:23:21.374438+00,cara penggunannya,549,29
2066,2026-02-26 08:23:23.701806+00,makna ekosistem hadoop dan bagaimana praktik nya di bidang profesional,515,29
2067,2026-02-26 08:23:23.871101+00,digunakan untuk apa dan kapan dipakainya,603,29
2068,2026-02-26 08:23:40.629191+00,cara menggunakan hadoop,516,29
2069,2026-02-26 08:23:42.732533+00,"Mengenai apaitu hadoop, bagaimana ekosistem hadoop itu bekerja, untuk apa itu digunakan",566,29
2070,2026-02-26 08:23:48.127984+00,Saya ingin tahu cara kerja dan penerapannya dalam kasus yang nyata,525,29
2071,2026-02-26 08:23:49.048865+00,"Mengenal apa itu Ekosistem Hadoop, kenapa harus ada ekosistem Hadoop, apa hubungannya dengan big Data, perannya apa, dan bagaimana supaya kita bisa menguasai materi ini",555,29
2072,2026-02-26 08:23:52.520939+00,Bagaimana data diproses dalam waktu persamaan.,583,29
2073,2026-02-26 08:24:33.138222+00,Saya tidak tahu,560,29
2074,2026-02-26 08:24:39.291664+00,"Ingin mengetahui apa itu ekosistem hadoop, fungsi, cara kerja, dan penerapannya",575,29
2075,2026-02-26 08:24:46.999365+00,ingin lebih mengetahui cara kerja ekosistem hadoop dan kenapa harus dipakai,568,29
2076,2026-02-26 08:24:48.363555+00,Saya ingin mengetahui apa itu ekosistem hadoop dan seperti apa ekosistem hadoop,565,29
2077,2026-02-26 08:24:48.365596+00,Saya ingin mengetahui apa definisi Ekosistem Hadoop serta kegunaannya,582,29
2078,2026-02-26 08:24:48.739714+00,Saya ingin mengetahui seberapa penting ekosistem hadoop dan bagaimana cara penggunannya,517,29
