UserID,Anonymized_User_ID,Cleaned_Content,Cluster_Label,Cluster_Prob
467,e078af3026,"cara data diorganisasikan, di dokumentasikan, dan di definisikan dalam sebuah basis data",7,1.0
476,e73cb13524,saya ingin mengetahui tools-tools apa saja yang bisa digunakan,5,1.0
470,30eec89ddd,"saya ingin lebih mengetahui relasi antar setiap data, bagaimana cara pengaplikasiannya, dan kapan saja dapat menggunakannya",2,1.0
449,4a30a219a9,"saya ingin tahu tentang logical data model yaitu relasi antar entitasnya, jenis relasi, dan semacamnya",1,1.0
479,9869a8a3a1,konseptual untuk menghubungkan antara data.,7,1.0
455,f626051bc9,ingin tahu bagaimana logical data model berguna untuk membuat program,1,1.0
487,9b19f9ab81,"buat apa, cara penggunaan, cara penggunaan paling efektif",4,1.0
470,30eec89ddd,"saya ingin lebih mengetahui relasi antar setiap data, bagaimana cara pengaplikasiannya, dan kapan saja dapat menggunakannya",2,1.0
470,30eec89ddd,"saya ingin lebih mengetahui relasi antar setiap data, bagaimana cara pengaplikasiannya, dan kapan saja dapat menggunakannya",2,1.0
502,5344c4110f,model data logis merepresentasikan struktur abstrak dari suatu domain informasi,1,1.0
470,30eec89ddd,"saya ingin lebih mengetahui relasi antar setiap data, bagaimana cara pengaplikasiannya, dan kapan saja dapat menggunakannya",2,1.0
492,23e8b01758,transisi dari konseptual fungsinya efisiensi biaya,5,1.0
461,de482c7ed5,saya ingin tau lebih dalam dan cara menggunakan yg efektif,5,1.0
448,a4ecdd704d,cara membuat atau menggunakannya,4,1.0
485,5844a72aee,"hal yang ingin saya ketahui tentang logical data model adalah pengertian, fungsi, komponen, cara pembuatan, serta perbedaannya dengan model data lainnya dalam perancangan database.",1,1.0
482,d4679c618f,saya ingin lebih pahaam apa itu logical data model dan contoh penggunaanya,1,1.0
451,caa1aedb2a,membuat data yang struktural dan terperinci dari berbagai data dan menghubungkan dengan berbagai macam data,7,1.0
474,98144d79af,"apa saja yang ada di logical data model, dan apa saja yang ada di dalamnya secara rinci dan detail",1,1.0
450,83151157c1,"aku ingin tau karakteristik nya, manfaat nya dan komponen apa saja yang terkait.",5,1.0
463,06de973bb4,apa fungsi utama logical data model dalam perancangan database?,1,1.0
462,da4d43f295,"1. apa itu logical data model. 2. apa saja bagian - bagiannya (entitas, atribut, relasi). 3. apa fungsinya dalam perancangan database. 4. mengapa perlu dibuat sebelum database diimplementasikan.",3,1.0
