fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Operating Systems,Introduction and Operating System Structure,English,Analyzing,Analyze whether the Linux kernel is categorized as a hybrid kernel. Provide justification.,"Level: Analyzing
Topik: Introduction and Operating System Structure
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analyze whether the Linux kernel is categorized as a hybrid kernel. Provide justification.
Business Intelligence,Big Data in Business Intelligence,Indonesian,Understanding,Jelaskan perbedaan antara Big Data dan data tradisional dalam konteks Business Intelligence.,"Level: Understanding
Topik: Big Data in Business Intelligence
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan perbedaan antara Big Data dan data tradisional dalam konteks Business Intelligence.
Flutter,Flutter Form Validation,Indonesian,Evaluating,"Seorang developer mengimplementasikan validasi form yang hanya memeriksa input ketika tombol submit ditekan, sementara developer lain melakukan validasi setiap kali pengguna mengetik. Evaluasi kedua pendekatan tersebut dengan mempertimbangkan user experience dan performa. Pendekatan mana yang Anda rekomendasikan dan mengapa?","Level: Evaluating
Topik: Flutter Form Validation
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Seorang developer mengimplementasikan validasi form yang hanya memeriksa input ketika tombol submit ditekan, sementara developer lain melakukan validasi setiap kali pengguna mengetik. Evaluasi kedua pendekatan tersebut dengan mempertimbangkan user experience dan performa. Pendekatan mana yang Anda rekomendasikan dan mengapa?"
Python Data,Pandas MultiIndex,Indonesian,Analyzing,"Sebuah dataset penjualan menggunakan MultiIndex dengan level [Negara, Kota, Toko]. Kapan penggunaan .xs() lebih tepat dibandingkan .loc[] untuk seleksi data, dan bagaimana implikasi performanya?","Level: Analyzing
Topik: Pandas MultiIndex
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah dataset penjualan menggunakan MultiIndex dengan level [Negara, Kota, Toko]. Kapan penggunaan .xs() lebih tepat dibandingkan .loc[] untuk seleksi data, dan bagaimana implikasi performanya?"
Algorithms,Floyd-Warshall Algorithm,English,Creating,"Design a modified version of the Floyd-Warshall algorithm that not only finds the shortest paths but also tracks and returns the actual path sequence (list of vertices) for each pair of vertices, not just the distance.","Level: Creating
Topik: Floyd-Warshall Algorithm
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a modified version of the Floyd-Warshall algorithm that not only finds the shortest paths but also tracks and returns the actual path sequence (list of vertices) for each pair of vertices, not just the distance."
Komputer & Masyarakat,Technology Ethics,Indonesian,Remembering,Apa tujuan utama dari kode etik dalam perusahaan teknologi?,"Level: Remembering
Topik: Technology Ethics
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa tujuan utama dari kode etik dalam perusahaan teknologi?
Distributed Systems,Message Queues,English,Evaluating,"A company is deciding between RabbitMQ and Apache Kafka for their event-driven architecture. Based on message ordering guarantees, throughput requirements, and message persistence needs, which solution would you recommend and why?","Level: Evaluating
Topik: Message Queues
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company is deciding between RabbitMQ and Apache Kafka for their event-driven architecture. Based on message ordering guarantees, throughput requirements, and message persistence needs, which solution would you recommend and why?"
Computer & Society,Professional Ethics,English,Analyzing,Explain how ethical behavior in a university faculty environment can demonstrate adherence to institutional values.,"Level: Analyzing
Topik: Professional Ethics
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how ethical behavior in a university faculty environment can demonstrate adherence to institutional values.
Web Development,GraphQL,Indonesian,Analyzing,Sebuah aplikasi mobile mengalami performa lambat karena over-fetching data dari REST API. Analisis bagaimana migrasi ke GraphQL dapat mengatasi masalah ini dan trade-off apa yang mungkin terjadi.,"Level: Analyzing
Topik: GraphQL
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah aplikasi mobile mengalami performa lambat karena over-fetching data dari REST API. Analisis bagaimana migrasi ke GraphQL dapat mengatasi masalah ini dan trade-off apa yang mungkin terjadi.
Flutter,Flutter App Architecture (MVVM),English,Applying,You are building a Flutter shopping cart app using MVVM. Implement a ViewModel that manages a list of products and calculates the total price. Which layer should handle the business logic for price calculation?,"Level: Applying
Topik: Flutter App Architecture (MVVM)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",You are building a Flutter shopping cart app using MVVM. Implement a ViewModel that manages a list of products and calculates the total price. Which layer should handle the business logic for price calculation?
Web Development,REST API Design,Indonesian,Creating,"Rancang struktur RESTful API lengkap untuk platform e-commerce yang mendukung produk, keranjang belanja, pesanan, dan pembayaran. Sertakan konvensi penamaan endpoint, HTTP method, status code, dan strategi penanganan error.","Level: Creating
Topik: REST API Design
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang struktur RESTful API lengkap untuk platform e-commerce yang mendukung produk, keranjang belanja, pesanan, dan pembayaran. Sertakan konvensi penamaan endpoint, HTTP method, status code, dan strategi penanganan error."
Flutter,Flutter Named Routes,Indonesian,Creating,Rancang arsitektur navigasi untuk aplikasi e-commerce Flutter yang menggunakan named routes dengan route guards untuk memeriksa status autentikasi pengguna sebelum mengakses layar checkout dan riwayat pesanan. Sertakan struktur route dan pendekatan implementasinya.,"Level: Creating
Topik: Flutter Named Routes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Rancang arsitektur navigasi untuk aplikasi e-commerce Flutter yang menggunakan named routes dengan route guards untuk memeriksa status autentikasi pengguna sebelum mengakses layar checkout dan riwayat pesanan. Sertakan struktur route dan pendekatan implementasinya.
Deep Learning,Vanishing Gradient Problem,Indonesian,Understanding,Jelaskan mengapa vanishing gradient problem lebih sering terjadi pada neural network yang dalam dengan banyak layer.,"Level: Understanding
Topik: Vanishing Gradient Problem
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan mengapa vanishing gradient problem lebih sering terjadi pada neural network yang dalam dengan banyak layer.
React,React Component Lifecycle,Indonesian,Creating,"Rancang sebuah komponen React yang melacak dan mencatat semua lifecycle events (mounting, updating, unmounting) untuk membantu debugging aplikasi yang kompleks. Sertakan strategi implementasi untuk class component dan functional component.","Level: Creating
Topik: React Component Lifecycle
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang sebuah komponen React yang melacak dan mencatat semua lifecycle events (mounting, updating, unmounting) untuk membantu debugging aplikasi yang kompleks. Sertakan strategi implementasi untuk class component dan functional component."
Next.js,Next.js Pages Router,Indonesian,Creating,"Rancang arsitektur blog multi-bahasa menggunakan Next.js Pages Router yang mendukung dynamic routes, static generation, dan konten berbasis locale. Deskripsikan struktur folder, strategi routing, dan metode data fetching yang akan Anda implementasikan.","Level: Creating
Topik: Next.js Pages Router
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang arsitektur blog multi-bahasa menggunakan Next.js Pages Router yang mendukung dynamic routes, static generation, dan konten berbasis locale. Deskripsikan struktur folder, strategi routing, dan metode data fetching yang akan Anda implementasikan."
Human Computer Interaction,User Experience Design,Indonesian,Analyzing,Analisis bagaimana fitur playlist personal Spotify (Discover Weekly) mendemonstrasikan prinsip user-centered design dan berkontribusi terhadap kepuasan pengguna secara keseluruhan.,"Level: Analyzing
Topik: User Experience Design
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analisis bagaimana fitur playlist personal Spotify (Discover Weekly) mendemonstrasikan prinsip user-centered design dan berkontribusi terhadap kepuasan pengguna secara keseluruhan.
Distributed Systems,Consensus Algorithms,English,Creating,Design a modified consensus protocol that can handle network partitions while maintaining strong consistency guarantees. Describe the key mechanisms and how it differs from existing algorithms like Raft or Paxos.,"Level: Creating
Topik: Consensus Algorithms
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a modified consensus protocol that can handle network partitions while maintaining strong consistency guarantees. Describe the key mechanisms and how it differs from existing algorithms like Raft or Paxos.
Server Side,Rate Limiting Implementation,English,Remembering,What is the primary purpose of implementing rate limiting on a server?,"Level: Remembering
Topik: Rate Limiting Implementation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary purpose of implementing rate limiting on a server?
Machine Learning,Random Forest,Indonesian,Evaluating,"Dua data scientist memperdebatkan apakah akan menggunakan Random Forest atau Gradient Boosting untuk sistem deteksi fraud di mana false negative sangat merugikan. Berdasarkan karakteristik Random Forest (parallel training, feature randomness, voting mechanism), evaluasi algoritma mana yang lebih cocok dan berikan justifikasi rekomendasi Anda.","Level: Evaluating
Topik: Random Forest
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Dua data scientist memperdebatkan apakah akan menggunakan Random Forest atau Gradient Boosting untuk sistem deteksi fraud di mana false negative sangat merugikan. Berdasarkan karakteristik Random Forest (parallel training, feature randomness, voting mechanism), evaluasi algoritma mana yang lebih cocok dan berikan justifikasi rekomendasi Anda."
IT Project Management,Risk Management in IT Projects,Indonesian,Understanding,Jelaskan perbedaan antara metode penilaian risiko kualitatif dan kuantitatif dalam manajemen proyek IT.,"Level: Understanding
Topik: Risk Management in IT Projects
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan perbedaan antara metode penilaian risiko kualitatif dan kuantitatif dalam manajemen proyek IT.
Information Retrieval,Boolean Retrieval Model,Indonesian,Analyzing,Seorang pengguna mencari 'climate AND (change OR warming)' dalam database dokumen. Analisis bagaimana sistem retrieval memproses query ini dan menentukan dokumen mana yang akan dikembalikan.,"Level: Analyzing
Topik: Boolean Retrieval Model
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Seorang pengguna mencari 'climate AND (change OR warming)' dalam database dokumen. Analisis bagaimana sistem retrieval memproses query ini dan menentukan dokumen mana yang akan dikembalikan.
Manajemen Sistem Informasi,IS in Global Business,English,Analyzing,Analyze how time zone differences and language barriers affect real-time collaboration and data synchronization in global information systems.,"Level: Analyzing
Topik: IS in Global Business
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analyze how time zone differences and language barriers affect real-time collaboration and data synchronization in global information systems.
