id,created_at,reflection,student_id,wtk_ref_id
1661,2026-02-23 06:10:30.153855+00,Ingin mengetahui bagaimana antarmuka dapat bekerja secara efektif,69,21
1665,2026-02-23 06:10:57.761986+00,Saya ingin mengetahui bagaimana interface berperan penting dalam menarik minat user untuk menggunakan aplikasi,64,21
1681,2026-02-23 06:12:02.384025+00,gimana caranya membuat sistem antarmuka yang baik? :O,101,21
1689,2026-02-23 06:12:33.222864+00,bagaimana mendesain interface yang mudahdan nyaman digunakan?,258,21
1692,2026-02-23 06:13:05.548748+00,mau tau sebenernya antarmuka itu apa? mau tau gimana bisa implement antarmuka yg baik,172,21
1666,2026-02-23 06:11:04.228117+00,Aturan apa saja yang perlu diperhatikan ketika merancang antarmuka. Adakah teknik atau framework tertentu untuk membuat antarmuka,63,21
1670,2026-02-23 06:11:15.950646+00,"Bagaimana cara merancang antarmuka yang intuitif?
Bagaimana ilmu yang dipelajari di pekan sebelumnya bisa membantu merancang antarmuka yang ramah pengguna?",153,21
1682,2026-02-23 06:12:10.790425+00,pengertian dan karakteristik dari antarmuka itu sendiri karena jujur saya belum terlalu tau,304,21
1683,2026-02-23 06:12:14.249561+00,I want to know what an interface is,67,21
1687,2026-02-23 06:12:30.713344+00,saya ingin mengetahui filosofi dan psikologi antarmuka yg berinteraksi langsung dengan user,177,21
1693,2026-02-23 06:13:13.570042+00,saya ingin mengetahui tentang bagaimana antar muka ada di sistem interaksi,301,21
1702,2026-02-23 06:14:02.610781+00,bagaimana membuat antarmuka yang baik?,75,21
1676,2026-02-23 06:11:51.873577+00,apakah antarmuka hanya tentang desain yang bagus dan efektif atau ada hal yang lebih mendalam terkait antarmuka ini,252,21
1680,2026-02-23 06:12:02.368804+00,gimana caranya membuat sistem antarmuka yang baik? :O,101,21
1684,2026-02-23 06:12:26.186142+00,How do you design a good interface? What makes it good?,62,21
1694,2026-02-23 06:13:13.651788+00,Saya ingin mengetahui apa saja komponen-komponen upendukung antarmuka sehingga dapat menjadi cara pengguna berinteraksi dengan suatu sistem atau perangkat,140,21
1699,2026-02-23 06:13:37.796911+00,saya ingin tahu bagaimana antarmuka dibentuk dengan baik dan sesuai dengan kriteria,203,21
1700,2026-02-23 06:13:52.906884+00,"Hal yg ingin saya ketahui tentang antarmuka adalah bagaimana membuat sebuah antarmuka yang baik, apakah ada sebuah standar yg dipakai untuk membuat antarmuka atau sebuah antarmuka harus dibuat berdasarkan preferensi dari target penggunanya.",125,21
1703,2026-02-23 06:14:04.211192+00,"Yang ingin saya ketahui mengenai antarmuka/interface adalah aturan dalam desain antarmuka, user-experience atau cara meningkatkan pengalaman pengguna dalam menggunaka  aplikasi, usability suatu fitur, bentuk-bentuk interface.",159,21
1721,2026-02-23 06:15:33.843929+00,"contoh interface dalam kehidupan sehari-hari, seberapa penting interface, dan dalam dunia software engineer apa itu interface yang bagus",131,21
1706,2026-02-23 06:14:20.852606+00,Saya ingin tau antarmuka itu secara technical definisi nya bagaimana,266,21
1708,2026-02-23 06:14:21.61689+00,saya ingin mengetahui komposisi yang baik ketika membuat sebuah interface tuh speerti apa karena akan banyak sekali komponen yang diperlukan tapi tentinya perlu dipikirkan nilai estetikanya dll,84,21
1710,2026-02-23 06:14:32.986041+00,apa yang menjadi pembeda antarmuka dengan desain interaksi??,297,21
1711,2026-02-23 06:14:40.061897+00,Bagaimana antarmuka memediasi interaksi antara mental model pengguna dengan system model? Bagaimana cara mendesain antarmuka yang usable dan nyaman?,168,21
1712,2026-02-23 06:14:46.935885+00,Hal yang ingin saya ketahui tentang Antarmuka pada sesi kali ini adalah bagaimana mebuat antarmuka yang baik dan juga apa pentingnya antar muka yang baik bagi pengguna ataupun developer,74,21
1726,2026-02-23 06:15:54.588312+00,Saya ingin mengetahui lebih dalam mengenai seberapa penting aspek antar muka dalam desain interaksi,300,21
1714,2026-02-23 06:14:50.164318+00,Cara membuat desain antarmuka yang bagus,198,21
1715,2026-02-23 06:14:59.06619+00,Bagaimana cara membuat antarmuka yang intuitif bagi pengguna tapi tetap mengedepankan fungsi,146,21
1727,2026-02-23 06:15:55.334168+00,Saya ingin mengetahui mengenai bagaimana mendesain sebuah antarmuka yang baik bagi pengguna sesuai dengan konteks dan situasi yang ada pada dunia nyata ini,73,21
1717,2026-02-23 06:15:11.533477+00,"Cara mendesain interface yang effective, cara menentukan interface yang bagaimana yang cocok diterapkan untuk suatu aplikasi/program tertentu, bagaimana cara membuat interface yang tepat dan tidak boros, klasifikasi interface yang baik dan buruk.",155,21
1716,2026-02-23 06:15:03.500493+00,tipe-tipe antarmuka serta implementasinya dalam sistem interaksi yang baik untuk user.,70,21
1719,2026-02-23 06:15:31.248811+00,Bagaimana antarmuka yang baik,264,21
1728,2026-02-23 06:15:56.208829+00,Saya ingin tahu seberapa penting interface dan juga interface dalam sehari-hari saya contohnya apa dan bagaimana.,150,21
1732,2026-02-23 06:16:21.958684+00,"Saya ingin mengetahui lebih dalam tentang aspek saja yang perlu diperhatikan dalam pembuatan sebuah antarmuka. Bagaimana kita bisa membuat antarmuka yang tidak hanya menarik dan indah di pandang, tetapi juga intuitif dan tetap fungsional sebagaimana mestinya.",71,21
1734,2026-02-23 06:16:27.294468+00,Peran antarmula di ui/ux,200,21
1733,2026-02-23 06:16:27.293991+00,Peran antarmula di ui/ux,200,21
1735,2026-02-23 06:16:27.478609+00,mau tau lebih dalam apa yang sebelumnya tidak diketahui,91,21
1736,2026-02-23 06:16:27.492261+00,Memahami bagaimana alur interaksi antara pengguna dan sistem. Terutama dalam efisiensi dan juga pengalaman visual (estetik) pengguna,77,21
1739,2026-02-23 06:16:40.602863+00,Hal-Hal yang dapat dianggap sebagai bagian dari antarmuka. Bagaimana cara kerjanya agar dapat dikatakan sebagai antarmuka dan membuat antarmuka yang dapat digunakan secara intuitif,65,21
1738,2026-02-23 06:16:40.150052+00,cara pandang manusia terhadap antarmuka,189,21
1742,2026-02-23 06:16:52.686042+00,Saya ingin lebih tahu bagaiamana antarmuka yang bagus agar penyamapaian informasi dapat terlaksana sesuai harapan. Dan ada faktor apa saja di balik design antarmuka yang mempengaruhi hasil designnya,215,21
1744,2026-02-23 06:17:04.372089+00,Saya ingin memahami antarmuka lebih mendalam yang dan bagaimana prinsip-prinsip atarmuka dapat berpengaruh terhadap pembuatan ataupun desain user interface dalam pengembangan web/aplikasi,316,21
1745,2026-02-23 06:17:07.281442+00,saya ingin mengetahui bagaimana antaruka dapat mempengaruhi cara interaksi manusia,223,21
1746,2026-02-23 06:17:16.491691+00,"sejauh ini saya mengetahui apa itu antarmuka, namun saya tidak tau apa saja yang bisa mendukung supaya antarmuka bisa lebih enak dilihat oleh pengguna. Maka dari itu, saya ingin mengetahui apa yang bisa mendukung antarmuka supaya lebih nyaman dilihat",247,21
1748,2026-02-23 06:17:27.206086+00,"Yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",68,21
1749,2026-02-23 06:17:27.21237+00,"Yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",68,21
1750,2026-02-23 06:17:27.225666+00,"Yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",68,21
1747,2026-02-23 06:17:27.191064+00,"Yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",68,21
1751,2026-02-23 06:17:27.861908+00,"Saya ingin tahu bagaimana antarmuka yang bagus dan baik sehingga dapat diterima oleh pengguna serta bagaimana hubungan antarmuka dengan user experience,",66,21
1768,2026-02-23 06:20:31.41151+00,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai UI/UX, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",95,21
1754,2026-02-23 06:17:37.789799+00,"saya ingin tau tentang kriteria, apa saja yang membuat sebuah antarmuka itu baik",72,21
1756,2026-02-23 06:18:04.295672+00,hal-hal penting apa yang harus aku pahami agar bisa merancang antarmuka yang paling baik,79,21
1758,2026-02-23 06:18:44.821308+00,"karena ini dapat dibilang salah satu materi inti dari pembelajaran SISTER, yaitu tentang UI/UX, saya ingin mengetahui lebih dalam apasih urgensi dari UI/UX dalam mengembangkan suatu aplikasi.",116,21
1762,2026-02-23 06:20:02.370499+00,"Bagaimana cara mendesain user interface sendiri, sesuai dengan kebutuhan dan kenyamanan pengguna dalam berbagai kasus. Mengetahui perbedaan desain-desain untuk setiap jenis servicesnya",298,21
1763,2026-02-23 06:20:26.66048+00,"Hal yang ingin saya ketahui tentang Antarmuka adalah saya ingin mengetahui bagaimana antarmuka bisa memberikan efek ""wow"" yang melampaui sekadar usability standard, saya juga penasaran bagaimana penerpa beberpa teori saat dihadapkan pada antarmuka masa depan, selain itu, saya ingin mengetahui batasan batasan teknis dan etika dalam merancang interface/antarmuka agar tetap selaras antara fungsi dan nilai moral masyarakat.",169,21
1767,2026-02-23 06:20:31.41121+00,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai UI/UX, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",95,21
1765,2026-02-23 06:20:31.398392+00,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai UI/UX, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",95,21
