Cluster_ID,Cluster_Size,Topic_Label,Representative_Question,Is_Noise,Confidence,Reasoning
0,8,Pendalaman dan Urgensi UI/UX,Bagaimana cara mendalami prinsip UI/UX untuk menciptakan antarmuka yang lebih profesional dan memahami urgensinya dalam pengembangan aplikasi?,False,0.9,Cluster ini berisi pertanyaan mengenai keinginan mahasiswa untuk mempelajari UI/UX secara lebih mendalam dan profesional.
1,7,Kriteria dan Aturan Desain Antarmuka,"Apa saja kriteria, teknik, atau framework yang harus diikuti untuk merancang desain antarmuka yang baik dan benar?",False,0.95,"Mahasiswa menanyakan tentang standarisasi, aturan, dan kriteria teknis dalam membangun antarmuka."
2,6,Peran dan Dampak Antarmuka Pengguna,Bagaimana peran antarmuka dalam menjembatani interaksi manusia dengan sistem serta pengaruhnya terhadap perilaku pengguna?,False,0.88,Fokus cluster ini adalah pada fungsi dasar UI dan bagaimana elemen tersebut mempengaruhi perspektif serta tindakan pengguna.
3,5,Cara Membuat Desain Antarmuka Baik,Bagaimana langkah-langkah praktis dalam merancang sistem antarmuka yang berkualitas dan menarik bagi pengguna?,False,0.85,Berisi pertanyaan umum mengenai cara atau metode untuk menghasilkan desain antarmuka yang bagus secara visual maupun fungsional.
4,4,Efektivitas dan Efisiensi Desain Antarmuka,"Bagaimana cara merancang antarmuka yang efektif, efisien, dan sesuai dengan best practice industri modern?",False,0.92,"Pertanyaan dalam cluster ini lebih spesifik pada aspek efisiensi, efektivitas, dan standar industri dalam desain interface."
5,4,Definisi dan Karakteristik Dasar Antarmuka,Apa definisi teknis dari antarmuka dan karakteristik dasar apa yang membedakannya dari elemen sistem lainnya?,False,0.9,Cluster ini berfokus pada pemahaman fundamental dan definisi terminologi mengenai apa itu antarmuka.
6,4,Antarmuka sebagai Media Interaksi,Sejauh mana peran antarmuka dapat dipahami sebagai gerbang interaksi utama antara pengguna dan program perangkat lunak?,False,0.85,"Meskipun datanya repetitif, temanya jelas mengenai konsep antarmuka sebagai perantara (gateway) antara user dan sistem."
7,18,Desain Intuitif dan Pengalaman Pengguna,Bagaimana prinsip desain intuitif dan model mental pengguna dapat diterapkan untuk menciptakan antarmuka yang usable dan nyaman?,False,0.95,"Cluster ini mencakup topik yang lebih luas seperti usability, model mental, dan kenyamanan alur interaksi pengguna."
8,6,Perbandingan Antarmuka dan Desain Interaksi,"Apa perbedaan mendasar antara desain antarmuka dan desain interaksi, serta bagaimana keduanya saling berhubungan dalam sebuah sistem?",False,0.88,Fokus pada hubungan dan perbedaan antara elemen visual (UI) dengan alur interaksi (Interaction Design).
-1,9,Rare/Singular Topics,N/A (unassigned outlier questions),True,1.0,Points not assigned to any cluster by HDBSCAN.
