UserID,Anonymized_User_ID,Cleaned_Content,Cluster_Label,Cluster_Prob
572,5e74cb2ad4,"apa itu hadoop, dan arsitekturnya",9,0.6912199392050963
593,d4e33e2934,mulai dari latar belakangnya sampai cara pengaplikasiannya,0,0.9702736219790785
563,fa4ddf29f4,tools nya apa saja dan fungsinya buat apa saja kemudian bagaimana workflow atau cara kerjanya,0,0.8775427967708993
524,388c2eafe5,mengetahui bagian dari ekosistem hadoop,9,1.0
567,97a6d21df7,saya tidak tahu,0,0.5917459133721918
527,e1bb74a779,"definisi, fungsi, cara kerja contoh cara penerapan",0,1.0
597,fcf1e4bf9c,cara kerja dan memahami nya,0,0.9843884268697479
544,d359f8b537,cara kerja dan tools-tools tambahan,0,0.785538073301734
556,9d6aa3d89c,fungsi hdfs dalam ekosistem hadoop,9,0.7077275532011759
573,5b4afb8d2e,tentang apa itu ekosistem hadoop dan bagaimana ekosistem ini bekerja,5,1.0
532,68f10bf021,"pengenalan ke ekosistem hadoop, tools yang tersedia, dan cara penggunannya",4,0.9371497621021764
549,068814875f,cara penggunannya,0,0.9437015981431426
515,d4b9aead1d,makna ekosistem hadoop dan bagaimana praktik nya di bidang profesional,9,1.0
603,97468f679a,digunakan untuk apa dan kapan dipakainya,0,0.9790795483551633
516,4771bef2c0,cara menggunakan hadoop,8,0.8523026326262111
566,c57727d64e,"mengenai apaitu hadoop, bagaimana ekosistem hadoop itu bekerja, untuk apa itu digunakan",5,1.0
525,c32ffef1ae,saya ingin tahu cara kerja dan penerapannya dalam kasus yang nyata,0,0.8037895226491752
555,91a73fd806,"mengenal apa itu ekosistem hadoop, kenapa harus ada ekosistem hadoop, apa hubungannya dengan big data, perannya apa, dan bagaimana supaya kita bisa menguasai materi ini",1,1.0
583,62bfa28501,bagaimana data diproses dalam waktu persamaan.,8,1.0
575,fb84a97396,"ingin mengetahui apa itu ekosistem hadoop, fungsi, cara kerja, dan penerapannya",-1,0.0
568,f8818b67ab,ingin lebih mengetahui cara kerja ekosistem hadoop dan kenapa harus dipakai,-1,0.0
565,236b565af6,saya ingin mengetahui apa itu ekosistem hadoop dan seperti apa ekosistem hadoop,3,0.6482882230231442
582,421c0a7b6d,saya ingin mengetahui apa definisi ekosistem hadoop serta kegunaannya,3,0.8397415127830655
517,5088c1bc42,saya ingin mengetahui seberapa penting ekosistem hadoop dan bagaimana cara penggunannya,3,0.5838420188872986
528,bd3a797ba9,"bagaimana cara kerja ekosistem hadoop, apa korelasinya dengan teknologi big data dan bagaimana ekosistem hadoop ini dapat membantu mengelola teknologi big data",1,1.0
