Cluster_ID,Cluster_Size,Topic_Label,Representative_Question,Is_Noise,Confidence,Reasoning
0,60,Pengertian dan Dasar Ekosistem Hadoop,"Apa yang dimaksud dengan ekosistem Hadoop, serta bagaimana fungsi, tujuan, dan mekanisme kerja dasarnya dalam mengolah data?",False,0.95,"Pertanyaan dalam cluster ini berfokus pada definisi fundamental, kegunaan, dan cara kerja umum dari ekosistem Hadoop."
1,2,Komponen dan Alat Pemrosesan Big Data,"Apa saja tools dalam ekosistem Hadoop yang digunakan untuk menyimpan serta memproses big data, dan apa manfaat dari masing-masing komponen tersebut?",False,0.9,Cluster ini secara spesifik menanyakan tentang alat-alat (tools) dan komponen penyusun Hadoop serta kegunaannya dalam konteks big data.
2,2,Detail Teknis dan Implementasi Mendalam,Bagaimana rincian arsitektur ekosistem Hadoop secara lebih mendalam dan bagaimana langkah-langkah implementasi teknisnya di lapangan?,False,0.85,"Mahasiswa ingin mengetahui lebih dari sekadar dasar, melainkan detail teknis dan cara mengimplementasikan ekosistem tersebut."
3,2,Pernyataan Ketidaktahuan Peserta,Apa yang harus dilakukan jika saya belum memiliki pengetahuan atau pemahaman sama sekali mengenai materi yang sedang dibahas?,True,1.0,"Pertanyaan-pertanyaan ini bukan merupakan topik akademik, melainkan ungkapan ketidaktahuan atau kurangnya informasi dari peserta."
4,3,Perbandingan Hadoop dengan Teknologi Lain,"Apa kelebihan dan kekurangan Hadoop jika dibandingkan dengan framework lain seperti Spark atau database tradisional, dan mengapa kita harus menggunakannya untuk data besar?",False,0.95,Fokus utama cluster ini adalah evaluasi komparatif antara Hadoop dengan teknologi pengolahan data alternatif lainnya.
5,3,Arsitektur Komprehensif dan Alur Kerja,"Dapatkah dijelaskan secara menyeluruh mengenai komponen utama seperti HDFS, MapReduce, dan YARN, serta bagaimana alur kerja proses data secara paralel dalam Hadoop?",False,0.95,"Cluster ini berisi penjelasan panjang lebar mengenai komponen inti Hadoop, sejarahnya, dan alur kerja teknis di balik layarnya."
6,11,Integrasi Komponen dan Praktik Industri,Bagaimana cara kerja terintegrasi antar komponen Hadoop secara end-to-end dan apa saja praktik terbaik penggunaannya dalam lingkungan industri data saat ini?,False,0.9,"Pertanyaan menekankan pada integrasi antar berbagai alat (seperti Hive, Spark, HDFS) dan penerapan nyata di dunia profesional."
9,5,Mekanisme Kerja dan Aplikasi Nyata,Bagaimana konsep operasional Hadoop dalam mengelola data dan bagaimana cara menerapkannya secara praktis pada kasus-kasus di dunia nyata?,False,0.88,Mahasiswa menanyakan perpaduan antara pemahaman konsep cara kerja dan aplikasi praktis dari teknologi tersebut.
10,2,Arsitektur dan Keunggulan Sistem Hadoop,Apa saja keunggulan utama dari penggunaan arsitektur Hadoop dan bagaimana fungsi spesifik dari tools yang ada di dalamnya?,False,0.85,Fokus cluster ini adalah pada aspek arsitektural dan manfaat kompetitif yang ditawarkan oleh penggunaan Hadoop.
12,2,Daftar Alat dan Alur Kerja,Apa saja daftar alat tambahan yang mendukung ekosistem Hadoop dan bagaimana urutan workflow pengolahan datanya?,False,0.87,Cluster ini menitikberatkan pada identifikasi berbagai tools pendukung dan alur kerja (workflow) di antara tools tersebut.
14,3,Prosedur Penggunaan dan Operasional,Bagaimana prosedur dan langkah-langkah yang benar dalam mengoperasikan serta menggunakan ekosistem Hadoop untuk pengolahan data?,False,0.9,Pertanyaan-pertanyaan di sini sangat singkat dan hanya berfokus pada aspek operasional atau cara menggunakan sistem tersebut.
-1,20,Rare/Singular Topics,N/A (unassigned outlier questions),True,1.0,Points not assigned to any cluster by HDBSCAN.
