UserID,WantToKnow
U001,"Bagaimana DBMS menentukan execution plan paling efisien untuk query kompleks?"
U002,"cara kerja query optimizer dan kenapa bisa beda hasil execution time"
U003,"How does cost-based optimization actually work in real database engines?"
U004,"Pengen tau gimana relational algebra diubah step by step jadi execution plan"
U005,"Kenapa query yang hasilnya sama bisa jauh beda performanya?"
U006,"cara baca EXPLAIN ANALYZE biar ngerti bottleneck query"
U007,"how indexing affects query performance in large datasets"
U008,"Bagaimana DBMS memilih join algorithm (nested loop, hash join, merge join)?"
U009,"pengaruh urutan WHERE dan JOIN ke performance query"
U010,"cara hitung cost estimation secara akurat"
U011,"How does a query planner estimate disk I/O vs CPU cost?"
U012,"kenapa optimizer kadang ga pake index yang udah dibuat"
U013,"gimana cara improve query performance tanpa ubah struktur table"
U014,"apa bedanya heuristic optimization dan cost-based optimization"
U015,"bagaimana query tree di-transform pake equivalence rules"
U016,"why query optimization is hard in distributed databases"
U017,"cara DBMS handle query optimization di big data scale"
U018,"apa yang bikin query jadi lambat walaupun datanya sedikit"
U019,"how query execution plans differ between PostgreSQL and MySQL"
U020,"bagaimana cara optimizer menentukan urutan join paling murah"
U021,"kenapa ya query aku lama padahal simple?"
U022,"kok bisa sih database mikir sendiri"
U023,"query optimization tuh ribet ga sih sebenernya"
U024,"cara bikin query cepet tapi tetep readable"
U025,"how to write efficient SQL without over-optimizing"
U026,"apa hubungan index dengan disk access"
U027,"query processing itu ngapain aja sih di backend"
U028,"kenapa SELECT * itu katanya jelek"
U029,"how relational algebra helps database optimization"
U030,"kenapa join itu mahal secara komputasi"
U031,"apasihhh??"
U032,"gatau"
U033,"hmmmmm"
U034,"nooooo lama banget"
U035,"???"
U036,"wkwkwk query"
U037,"db lag"
U038,"sql sql sql"
U039,"optimizationnnnnnnnn"
U040,"help"
U041,"cara database mikir"
U042,"how db thinks"
U043,"query plan logic"
U044,"kok ribet amat sih"
U045,"execution plan???"
U046,"optimizer brain"
U047,"disk vs memory"
U048,"kenapa disk lebih lambat"
U049,"query cost cost cost"
U050,"why database slow"
U051,"Bagaimana optimizer bekerja saat data tidak terdistribusi merata (skewed data)?"
U052,"cara database handle statistik yang outdated"
U053,"how stale statistics affect query planning"
U054,"apakah optimizer selalu memilih solusi global optimum?"
U055,"tradeoff antara optimization time dan execution time"
U056,"bagaimana optimizer pruning search space"
U057,"how dynamic programming is used in join ordering"
U058,"kenapa cost estimation sering meleset"
U059,"query optimization di OLTP vs OLAP bedanya apa"
U060,"bagaimana database modern optimize subquery"
U061,"ok"
U062,"test"
U063,"aaa"
U064,"random banget"
U065,"zzz"
E001,"Bagaimana cara kerja memory management di bahasa pemrograman modern?"
E002,"apa bedanya stack dan heap dalam program execution"
E003,"how garbage collection works under the hood"
E004,"kenapa memory leak bisa terjadi walaupun ada GC"
E005,"cara debug segmentation fault atau runtime crash"
E006,"what actually happens when a program is compiled vs interpreted"
E007,"bagaimana compiler melakukan optimization pada code"
E008,"kenapa pointer error sering susah dilacak"
E009,"apa hubungan antara time complexity dan performance nyata"
E010,"how CPU cache affects program performance"
E011,"cara nulis code yang scalable dari awal"
E012,"apa bedanya clean code dan premature optimization"
E013,"bagaimana cara refactor legacy code tanpa merusak sistem"
E014,"how to design software that is easy to maintain"
E015,"kenapa microservices bisa jadi overkill"
E016,"monolith vs microservices kapan pake yang mana"
E017,"bagaimana handle technical debt secara realistis"
E018,"what makes a system design interview hard"
E019,"cara mikir system design yang bener"
E020,"how distributed systems handle partial failure"
E021,"apa itu data preprocessing dan kenapa penting"
E022,"kenapa data kotor bisa bikin model jelek"
E023,"how feature engineering impacts model performance"
E024,"cara milih algorithm yang tepat buat dataset"
E025,"apa bedanya supervised learning dan unsupervised learning?"
